Event Date,Type,Event,Location,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
06/30/2016,,Citizen Preparedness Training,Christian Heritage Church,4121 Avenue J,Brooklyn,11210,40.627657,-73.936235,18,45,734,3215070,3077670001,Flatlands
06/29/2016,,RNY General Presentation,10 Gregg Place,10 Gregg Place,Staten Island,10301,40.632097,-74.099455,1,49,67,5003236,5001310225,New Brighton-Silver Lake
06/29/2016,,Bring Your Kids to Work Day,Governor's Office of Storm Recovery,"25 Beaver Street, 5th Floor",Manhattan,10004,40.704983,-74.012046,1,1,9,1000817,1000240001,Battery Park City-Lower Manhattan
06/29/2016,,Emergency Preparedness Presentation,The Axis Project,1325 Fifth Ave,Manhattan,10029,40.797706,-73.948608,11,9,17402,1086046,1016170001,East Harlem South
06/29/2016,,Ready NY for Nursing Students,NYC EM Situation Room,165 Cadman Plaza East,Brooklyn,11201,40.698767,-73.98987,2,33,13,3000172,3000850006,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
06/29/2016,,Caribbean American Heritage Fair,Brooklyn Borough Hall,209 Joralemon St.,Brooklyn,11201,40.692476,-73.990487,2,33,11,3000256,3001390001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
06/28/2016,,Hurricane Prep,RAIN Eastchester Senior Center,1246 Burke Avenue,Bronx,10469,40.871144,-73.851046,11,12,348,2093500,2045810001,Allerton-Pelham Gardens
06/28/2016,,National Safety Month,Coney Island Hospital,2601 OCean Parkway,Brooklyn,11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach
06/27/2016,,Emergency Preparedness for Staff,IncludeNYC,"116 E 16 St, 5 Fl",Manhattan,10003,40.73548,-73.98828,5,2,50,1017815,1008710070,Gramercy
06/27/2016,,Citizen Preparedness Training,Restoration Temple,4610 Church Ave,Brooklyn,11203,40.651565,-73.934053,17,45,860,3327773,3049000004,East Flatbush-Farragut
06/27/2016,,Zika Town Hall Meeting,The Community Health Academy of the Heights,504 West 158th St. Cafeteria,Manhattan,10032,40.833687,-73.942072,12,7,241,1089242,1021160031,Washington Heights South
06/27/2016,,Disaster Preparedness Meeting,NYP Cornell,525 E. 68th St.,Manhattan,10065,40.764149,-73.955251,8,5,116,1084781,1014800001,Lenox Hill-Roosevelt Island
06/26/2016,,Central Brooklyn Arts & Culture Walk,Eastern Parkway,Eastern Parkway between Flatbush and Washington,Brooklyn,,,,,,,,,
06/26/2016,,14th Annual Hope and Possibility Run/Walk,Central Park,Central Park Bandshell,Manhattan,10000,40.772666,-73.971027,64,6,143,1088637,1011110001,park-cemetery-etc-Manhattan
06/26/2016,,Spanish ESOL Presentation,St Peters School,105 Highland Pl.,Brooklyn,11208,40.682666,-73.881483,5,37,1174,3398192,3039300016,Cypress Hills-City Line
06/25/2016,,"Adoptapalooza, Celebrating ASPCA 150th Anniversary",Riis Park,Rockaway Beach Blvd,Queens,,,,,,,,,
06/25/2016,,Puppetry Arts Family Festival,JJ Byrne Park,4th St. at 5th Ave,Brooklyn,,,,,,,,,
06/25/2016,,Community Health Fair,260 Jefferson Ave and Marcy Ave,260 Jefferson Ave and Marcy Ave,Brooklyn,11216,40.683552,-73.94764,3,36,249,3052305,3018330038,Bedford
06/25/2016,,Bronx Recreation Fifth Annual Summerfest 2016,Hunts Point Recreation Center,765 Manida Street Between Lafayette Ave,Bronx,10474,40.815615,-73.888703,2,17,93,2109472,2027630001,Hunts Point
06/25/2016,,Family Fun Day Olympics Fair,Brookville Park,Brookville Blvd between 144th Ave & Weller Ave,Queens,,,,,,,,,
06/24/2016,,Annual Senior Fair for the 52nd Assembly District,St. Francis College,180 Remsen St,Brooklyn,11201,40.693277,-73.991587,2,33,9,3335934,3002550036,Brooklyn Heights-Cobble Hill
06/24/2016,,summer storm,400 Hart Street,400 Hart Street,Brooklyn,11206,40.694725,-73.93519,3,36,287,3341752,3015950024,Stuyvesant Heights
06/24/2016,,Community Fair,Markham Gardens,70 N Burgher Ave,Staten Island,10310,40.63965,-74.11545,1,49,97,5132994,5001690001,West New Brighton-New Brighton-St. George
06/24/2016,,Presentation for Veterans with Vision Disabilities,Veteran's Administration Manhattan,423 E 23 St,Manhattan,10010,40.73647,-73.977732,6,4,62,1081691,1009550005,Murray Hill-Kips Bay
06/23/2016,,Summer Storm,Blenman Senior Center,720 East New York Avenue,Brooklyn,11203,40.662289,-73.938916,9,41,87401,3106612,3047950016,Prospect Lefferts Gardens-Wingate
06/23/2016,,Citizen Preparedness Training,Brooks Senior Center,143-22 109 Ave,Queens,11435,40.688564,-73.803554,12,28,196,4257866,4119330001,South Jamaica
06/23/2016,,Citizen Preparedness Training,Queens Spanish Seventh Day Adventist Church,40-34 102 St,Queens,11368,40.748883,-73.863756,4,21,407,4040329,4016100055,North Corona
06/22/2016,,Ready Girl,Covenant House New York,427 West 52nd Street,Manhattan,10019,40.765146,-73.988982,4,3,133,1080953,1010620017,Clinton
06/22/2016,,Emergency Preparedness in Spanish and Cantonese,Meltzer Senior Center,94 E 1st Street,Manhattan,10009,40.722827,-73.987402,3,2,3002,1005743,1004290021,East Village
06/21/2016,,Summer Storms,Marble Hill Senior Center,5365 Broadway,Bronx,10463,40.876062,-73.907886,8,10,309,1082782,1022150623,Marble Hill-Inwood
