X,Y,tourism,name,addr:street,name:en,addr:housenumber,attraction,website,addr:postcode,phone,wheelchair,addr:city,wikidata,addr:state,opening_hours,wikipedia,description,historic,amenity,ele,leisure,name:ko,url,alt_name,artwork_type,name:de,name:ru,name:zh
-74.0131898,40.7130054,attraction,1 World Trade Center,Fulton Street,,285,,https://www.onewtc.com/,10007,,,,,,,,,,,,,,,,,,,
-74.0043915,40.7056075,attraction,80 South Street,,80 South Street,,,,,,,,,,,,,,,,,,,,,,,
-73.9882782,40.7038881,attraction,92 Gallery,,92 Gallery,,,,,,,,,,,,,,,,,,,,,,,
-74.0047209,40.747931,attraction,access High Line Park,,access High Line Park,,,,,,,,,,,,,,,,,,,,,Aufgang High Line Park,,
-74.005958,40.7459698,attraction,Access High Line Park,,Access High Line Park,,,,,,,,,,,,,,,,,,,,,Aufgang High Line Park,,
-74.0018026,40.7523843,attraction,Access High Line Park,,Access High Line Park,,,,,,,,,,,,,,,,,,,,,Aufgang High Line Park,,
-78.8528175,42.939883,attraction,Addax,,,,,,,,,,,,,,,,,,,,,,,,,
-77.6224904,43.2077606,attraction,African Black-footed Penguin,,,,animal,,,,,,,,,,,,,,,,,,,,,
-77.6208172,43.2097374,attraction,African Elephant,,,,animal,,,,,,,,,,,,,,,,,,,,,
-77.6236945,43.207001,attraction,African Spurred Tortoise,,,,animal,,,,,,,,,,,,,,,,,,,,,
-73.8806555,40.8474091,attraction,African Wild Dogs,,,,animal,,,,yes,,,,,,,,,,,,,,,,,
-73.4469544,44.6814372,attraction,Airplane,,,,,,,,,,,,,,,,,,,,,,,,,
-74.0007056,44.1312521,attraction,Airplane Wreckage,,,,,,,,,,,,,,Airplane wreckage. 1962-08-09. Single-engine aircraft. Pilot survived and was rescued.,,,,,,,,,,,
-77.622727,43.2075159,attraction,Amar Tiger,,,,animal,,,,,,,,,,,,,,,,,,,,,
-77.6239949,43.2058991,attraction,American Alligator,,,,animal,,,,,,,,,,,,,,,,,,,,,
-74.0035301,40.7172271,attraction,American Icon,Broadway,American Icon,360,,,,,,,,,,,,,,,,,,,,,,
-71.8974986,41.0549702,attraction,Amsterdam Beach Trail,Ranch Road,,,,,,,,,,,,,,,,,,,,,,,,
