X,Y,tourism,name,building,wikidata,wikipedia,historic,addr:street,addr:housenumber,addr:postcode,addr:city,website,start_date,height,addr:state,nycdoitt:bin,layer,ref:nrhp,wheelchair,attraction,operator,amenity,ship:type,ele,leisure,phone,alt_name,name:es,ref,building:levels,name:ru,building:colour,building:part,heritage,heritage:operator,name:ko,roof:shape,man_made,name:he,name:uk,roof:material,area,building:material,description,landuse,name:ja,name:zh,name:en,opening_hours,roof:colour,addr:housename,boundary,name:pl,natural,short_name,waterway,access,denomination,governance,internet_access,name:de,name_1,old_name,protect_class,protection_title,related_law,religion,site_ownership,type,addr:full,barrier,email,facility,fee,highway,image,internet_access:fee,level,min_height,name:be,name:da,name:fr,name:sk,network,office,railway,smoking,toilets:wheelchair,tourism_1,url
,,attraction,Abyssinian Baptist Church,yes,Q49254,,,Odell M Clarke Place,132,10030,,,,19.8,,1060013,,,,,,place_of_worship,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baptist,,,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Adirondack River Outfitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Adventure Landing,,,,,Ridge Road West,3340,14626,Rochester,,,,NY,,,,,,Adventure Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Aermacchi MB339 PAN,yes,,,aircraft,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Akwesasne Mohawk Casino,yes,Q4702020,,,New York 37,873,,Hogansburg,,,,,,,,,,,casino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Amazen' Maze,,,,,,,,,https://www.adventuresgovisland.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,
,,attraction,Amazing Amphibians,yes,,,,,,,,,,20.1,,2116680,1,,yes,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,Ambrose,,Q7890707,en:United States lightship Ambrose (LV-87),ship,,,,,,1907,,,,,84002758,,,,,lightship,,,,,,LV-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,attraction,American Falls,,Q1320475,en:American Falls,,,,,,,,34,,,,,,,,,,,,,,,,,Американский водопад,,,,,,,,,,,,,,,,,,,,,,Wodospad Amerykański,cliff,,waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,Niagarské vodopády,,,,,,,
,,attraction,ATCG Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
